1,Production,MATERIALS,24500.00,Q2 silk and linen fabric order from Tessuti Milano,2026-04-10
2,Marketing,MARKETING,3500.00,Spring Collection Teaser - Instagram and TikTok ad spend,2026-03-10
3,Production,LABOR,8500.00,Overtime pay for rush order batch processing,2026-04-15
4,Administration,OVERHEAD,4200.00,Monthly office lease and utilities - Building A,2026-04-01
5,Finance,LEGAL,2800.00,Trademark registration for Eternal Bloom collection name,2026-03-25
6,Marketing,MARKETING,2000.00,Lookbook photoshoot - studio rental and styling,2026-04-12
7,Production,MATERIALS,18200.00,Vegan leather and hardware bulk order,2026-04-18
8,Administration,OVERHEAD,1500.00,IT infrastructure - cloud storage and design software licenses,2026-04-01
9,Sales,OTHER,950.00,Retail display fixtures for summer collection rollout,2026-04-08
10,Production,MATERIALS,7560.00,Merino wool order for Heritage Craft winter preview,2026-04-20
11,Marketing,MARKETING,3000.00,Influencer Try-On campaign payments,2026-02-15
12,Administration,OVERHEAD,3200.00,Insurance premium - quarterly business liability,2026-04-01
