1,1,1,120,115,5,95,2026-04-16,Rose Petal Midi Dress batch - slight cutting waste
2,2,2,80,78,2,150,2026-04-17,Botanical Wrap Blouse batch - efficient run
3,3,3,60,58,2,100,2026-04-18,Garden Party Trousers - linen handled well
4,4,4,90,85,5,80,2026-04-19,Shadow Moto Jacket - vegan leather needs careful handling
5,5,5,70,68,2,120,2026-04-20,Asphalt Cargo Pants - clean production
6,1,6,50,48,2,90,2026-04-15,Graffiti Hoodie pilot - french terry run smooth
7,2,7,45,44,1,85,2026-04-14,Riviera Linen Shirt - minimal waste
8,3,8,55,52,3,75,2026-04-13,Marina Slip Dress - silk crepe requires extra care
9,4,14,200,195,5,300,2026-04-12,Foundation Tee large batch - pima cotton bulk run
10,5,9,40,38,2,45,2026-04-11,Starlight Sequin Gown - organza delicate material
