1,1,500,2026-05-01,SCHEDULED,MEDIUM,2026-05-05,1,Eternal Bloom - Rose Petal Midi Dress run,14250.0,2026-04-19
2,2,300,2026-04-28,IN_PROGRESS,HIGH,2026-05-02,2,Botanical Wrap Blouse - rush order for buyers,9562.50,2026-04-18
3,3,250,2026-04-30,COMPLETED,LOW,2026-05-01,1,Garden Party Trousers - completed ahead of schedule,5500.0,2026-04-10
4,4,400,2026-05-10,ON_HOLD,CRITICAL,2026-05-16,4,Shadow Moto Jacket - awaiting vegan leather shipment,14000.0,2026-04-20
5,5,350,2026-05-03,SCHEDULED,MEDIUM,2026-05-08,2,Asphalt Cargo Pants - standard production,5075.0,2026-04-21
6,6,200,2026-05-06,SCHEDULED,LOW,2026-05-09,4,Graffiti Hoodie - small initial run,3200.0,2026-04-21
7,7,150,2026-05-12,SCHEDULED,MEDIUM,2026-05-15,1,Riviera Linen Shirt - resort collection push,3300.0,2026-04-20
8,8,600,2026-04-25,IN_PROGRESS,HIGH,2026-04-30,4,Foundation Tee - high-volume basics batch,11100.0,2026-04-15
9,9,80,2026-05-20,SCHEDULED,HIGH,2026-05-28,5,Starlight Sequin Gown - hand-embellished pieces,3040.0,2026-04-21
10,10,180,2026-05-15,SCHEDULED,MEDIUM,2026-05-20,2,Alpine Cable Knit Sweater - winter preview,7560.0,2026-04-21
