1,DRS-1001,Midnight Silk Dress,Dresses,149.99,8
2,TOP-2001,Linen Structured Blouse,Tops,69.5,15
3,PNT-3001,Tailored Wide-Leg Trousers,Bottoms,89.0,12
4,ACC-4001,Leather Belt,Accessories,39.99,20
5,BAG-5001,Mini Crossbody Bag,Accessories,110.0,9
6,FTW-6001,City Leather Loafers,Footwear,129.95,10
7,OUT-7001,Wool Blend Blazer,Outerwear,199.0,7
8,DRS-1002,Pleated Evening Gown,Dresses,249.0,5
9,TOP-2002,Cotton Fitted Tee,Tops,35.0,45
10,PNT-3002,Classic Denim Jeans,Bottoms,79.99,28
11,SKT-3003,Midi A-Line Skirt,Bottoms,94.5,14
12,ACC-4002,Silk Scarf,Accessories,55.0,30
13,ACC-4003,Pearl Stud Earrings,Accessories,75.0,18
14,BAG-5002,Structured Leather Tote,Accessories,189.99,6
15,FTW-6002,Suede Ankle Boots,Footwear,159.0,9
16,FTW-6003,White Canvas Sneakers,Footwear,89.0,22
17,OUT-7002,Cashmere Cardigan,Outerwear,349.99,4
18,JAC-7003,Denim Jacket,Outerwear,119.99,11
19,ACC-4004,Designer Sunglasses,Accessories,199.0,8
20,DRS-1003,Casual Summer Sundress,Dresses,119.5,16
